"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"0","6-4-12-32-12-32-3-32","cifar10","0.5817","0.1","0.1","0.5587142705917358","0","0.03220145404338837","0.6936553716659546","0","gaussian","1"
"1","3-4-3-32-24-2-1-16","cifar10","0.3971","-0.1","0","0.5587323904037476","1","0.0328776016831398","0.6937772035598755","0","gaussian","1"
"2","3-4-12-64-12-4-1-8","cifar10","0.4492","-0.09558000000000005","-0.09558000000000005","0.5552608370780945","2","0.026745282113552094","0.6924471855163574","1.1774100225154747","gaussian","1"
"3","12-32-9-16-9-16-24-4","cifar10","0.4141","-0.1","-0.19558000000000006","0.5552608370780945","3","0.026745282113552094","0.6924471855163574","1.4823038073675112","gaussian","1"
"4","9-2-3-4-3-8-24-4","cifar10","0.399","-0.1","-0.29558000000000006","0.5587323904037476","4","0.0328776016831398","0.6937772035598755","1.6651092223153954","gaussian","0"
"5","1-8-3-2-12-8-12-16","cifar10","0.4518","-0.030680960000000035","-0.3262609600000001","0.5552608370780945","5","0.026745282113552094","0.6924471855163574","1.7941225779941015","gaussian","1"
"6","3-64-3-64-1-16-3-8","cifar10","0.4669","-0.009444768000000048","-0.33570572800000015","0.5587323904037476","6","0.0328776016831398","0.6937772035598755","1.8930184728248454","gaussian","0"
"7","12-4-9-64-6-32-6-32","cifar10","0.5823","0.1","-0.23570572800000014","0.5552608370780945","7","0.026745282113552094","0.6924471855163574","1.9727697022487511","gaussian","1"
"8","3-4-3-64-3-16-9-32","cifar10","0.5966","0.1","-0.13570572800000014","0.5578442811965942","8","-0.0172409750521183","0.6929180026054382","2.039333980337618","gaussian","1"
"9","1-8-24-16-9-2-9-16","cifar10","0.4577","-0.05843972121599994","-0.19414544921600008","0.5587323904037476","9","0.0328776016831398","0.6937772035598755","2.09629414793641","gaussian","1"
"10","12-2-12-32-1-8-6-32","cifar10","0.4582","-0.046251776972799974","-0.24039722618880005","0.555525004863739","10","-0.00602322444319725","0.6919640302658081","2.145966026289347","gaussian","0"
"11","9-8-9-64-9-16-12-4","cifar10","0.5618","0.06659857842175998","-0.17379864776704007","0.5686150789260864","11","-0.01684093102812767","0.6960747241973877","2.189929347170073","gaussian","0"
"12","12-32-1-4-9-2-6-32","cifar10","0.4414","-0.06712113726259195","-0.24091978502963202","0.5697978734970093","12","-0.05732501670718193","0.6922876834869385","2.2293078072747154","gaussian","1"
"13","24-2-6-32-24-8-6-2","cifar10","0.1","-0.1","-0.34091978502963205","0.5861952304840088","13","0.07175222039222717","0.699696958065033","2.2649279712439143","gaussian","0"
"14","1-16-24-64-12-2-12-16","cifar10","0.5591","0.1","-0.24091978502963204","0.5714596509933472","14","-0.07927687466144562","0.6950860023498535","2.2974147773596556","gaussian","1"
