,action,dataset,accuracy,reward,total_reward,loss,iteration,mu,sigma,ucb_reward,controller,random
0,9-64-6-8-6-64-3-32,cifar10,0.5322,0.1,0.1,0.5593909025192261,0.0,-0.018379980698227882,0.6953755021095276,0.0,gaussian,1.0
1,6-2-9-2-3-16-24-16,cifar10,0.4255,-0.1,0.0,0.5594680309295654,1.0,-0.026728937402367592,0.6952425837516785,0.0,gaussian,1.0
2,24-2-3-4-1-16-3-2,cifar10,0.2656,-0.1,-0.1,0.5594680309295654,2.0,-0.026728937402367592,0.6952425837516785,1.1774100225154747,gaussian,1.0
3,24-64-3-16-1-16-9-2,cifar10,0.322,-0.1,-0.2,0.5594680309295654,3.0,-0.026728937402367592,0.6952425837516785,1.4823038073675112,gaussian,1.0
4,12-64-24-8-3-4-12-32,cifar10,0.5365,0.1,-0.1,0.561765193939209,4.0,-0.055043864995241165,0.6943449974060059,1.6651092223153954,gaussian,0.0
5,24-32-1-16-9-16-12-4,cifar10,0.4185,-0.035877119999999985,-0.13587712,0.5594680309295654,5.0,-0.026728937402367592,0.6952425837516785,1.7941225779941015,gaussian,1.0
6,9-16-9-2-9-8-1-8,cifar10,0.4057,-0.04150169599999998,-0.17737881599999997,0.5577565431594849,6.0,-0.02408529818058014,0.6945090293884277,1.8930184728248454,gaussian,1.0
7,9-64-1-16-12-2-12-32,cifar10,0.5006,0.06169864320000007,-0.1156801727999999,0.561765193939209,7.0,-0.055043864995241165,0.6943449974060059,1.9727697022487511,gaussian,1.0
8,24-32-1-4-6-32-1-16,cifar10,0.4245,-0.02674108543999998,-0.14242125823999988,0.561765193939209,8.0,-0.055043864995241165,0.6943449974060059,2.039333980337618,gaussian,1.0
9,24-2-6-16-3-32-6-16,cifar10,0.4524,0.006507131648000042,-0.13591412659199983,0.5595597624778748,9.0,-0.04008885845541954,0.6931331753730774,2.09629414793641,gaussian,0.0
10,1-16-24-32-9-32-1-8,cifar10,0.4668,0.019605705318400002,-0.11630842127359983,0.559493899345398,10.0,-0.030262554064393044,0.6945202946662903,2.145966026289347,gaussian,1.0
11,12-16-12-64-3-64-12-32,cifar10,0.5783,0.1,-0.016308421273599827,0.5755958557128906,11.0,-0.06827981770038605,0.6971312761306763,2.189929347170073,gaussian,1.0
12,3-32-1-32-24-8-24-2,cifar10,0.1,-0.1,-0.11630842127359983,0.5651590824127197,12.0,-0.04816191643476486,0.6932511329650879,2.2293078072747154,gaussian,0.0
13,24-32-24-2-24-16-12-8,cifar10,0.1,-0.1,-0.21630842127359984,0.5742672681808472,13.0,-0.026591721922159195,0.6980763673782349,2.2649279712439143,gaussian,0.0
14,1-2-1-32-6-16-24-8,cifar10,0.4625,0.1,-0.11630842127359983,0.5677648782730103,14.0,-0.056808724999427795,0.6938650608062744,2.2974147773596556,gaussian,0.0
15,3-8-3-16-3-64-9-2,cifar10,0.2392,-0.1,-0.21630842127359984,0.5929313898086548,15.0,-0.006267898716032505,0.7006295323371887,2.3272516843273356,gaussian,1.0
16,12-32-9-2-12-8-9-16,cifar10,0.1,-0.1,-0.3163084212735998,0.5760890245437622,16.0,-0.050323136150836945,0.6948657631874084,2.3548200450309493,gaussian,1.0
17,12-2-1-16-6-8-6-32,cifar10,0.4509,0.1,-0.2163084212735998,0.6269839406013489,17.0,-0.26331424713134766,0.6940813660621643,2.380425736735434,gaussian,1.0
18,6-16-24-32-9-16-3-32,cifar10,0.5983,0.1,-0.1163084212735998,0.5734125375747681,18.0,-0.03846278786659241,0.6958795785903931,2.4043176819614187,gaussian,1.0
19,6-8-6-2-6-2-3-4,cifar10,0.2955,-0.08322283109632689,-0.1995312523699267,0.5760890245437622,19.0,-0.050323136150836945,0.6948657631874084,2.426701044284788,gaussian,1.0
20,9-16-3-64-24-4-6-2,cifar10,0.1,-0.1,-0.2995312523699267,0.5677648782730103,20.0,-0.056808724999427795,0.6938650608062744,2.4477468306808166,gaussian,1.0
21,9-4-1-2-12-4-1-64,cifar10,0.3826,0.07293738809835076,-0.22659386427157596,0.8838996291160583,21.0,0.10339484363794327,0.7017630338668823,2.467599010262171,gaussian,0.0
22,6-64-6-8-9-16-12-32,cifar10,0.5981,0.1,-0.12659386427157596,0.619767427444458,22.0,0.0013920236378908157,0.7015942931175232,2.48637987980852,gaussian,1.0
23,3-32-9-4-3-8-3-32,cifar10,0.4529,0.07387992838294455,-0.05271393588863141,0.619767427444458,23.0,0.0013920236378908157,0.7015942931175232,2.504194168162345,gaussian,1.0
24,24-32-12-8-1-2-1-8,cifar10,0.1,-0.1,-0.1527139358886314,0.7640202641487122,24.0,-0.46158507466316223,0.6986611485481262,2.5211322180115605,gaussian,1.0
25,12-16-9-2-12-2-9-2,cifar10,0.1,-0.1,-0.25271393588863145,0.6759704351425171,25.0,-0.03404020145535469,0.708014965057373,2.537272482359039,gaussian,1.0
26,12-2-6-2-3-64-12-32,cifar10,0.4759,0.1,-0.15271393588863144,0.6062305569648743,26.0,-0.011554602533578873,0.6981633305549622,2.552683504871484,gaussian,1.0
27,24-32-1-8-12-32-24-8,cifar10,0.477,0.1,-0.052713935888631436,0.619767427444458,27.0,0.0013920236378908157,0.7015942931175232,2.567425506613319,gaussian,0.0
28,1-8-9-4-3-64-3-8,cifar10,0.3671,0.011217134932523187,-0.04149680095610825,0.7177771925926208,28.0,-0.2382141649723053,0.7021533846855164,2.5815516691227405,gaussian,1.0
29,3-8-1-64-6-2-12-64,cifar10,0.4506,0.09247370794601856,0.05097690698991031,0.7103174328804016,29.0,-0.0684305876493454,0.7163140177726746,2.5951091807422957,gaussian,1.0
30,3-16-6-32-9-32-12-16,cifar10,0.6315,0.1,0.15097690698991031,0.679244875907898,30.0,-0.1014123186469078,0.6988747715950012,2.608140096567727,gaussian,0.0
31,1-2-3-2-24-4-6-8,cifar10,0.3998,-0.027796826914548156,0.12318008007536216,0.6799050569534302,31.0,-0.1048898845911026,0.7097461223602295,2.620682050339242,gaussian,0.0
32,3-64-24-2-3-4-1-16,cifar10,0.1,-0.1,0.023180080075362153,0.7372097373008728,32.0,-0.0493001751601696,0.7137202620506287,2.6327688477341593,gaussian,0.0
33,3-8-12-2-12-2-3-4,cifar10,0.3073,-0.050329969225310855,-0.027149889149948703,0.6646489500999451,33.0,0.04774384945631027,0.6986479759216309,2.6444309639188845,gaussian,0.0
